"","Country_Region","Confirmed","Deaths","Recovered","Date","Region"
"109","Algeria",24,1,8,"03-12-2020","North"
"110","South Africa",17,0,0,"03-12-2020","South"
"111","Tunisia",7,0,0,"03-12-2020","North"
"112","Morocco",6,1,0,"03-12-2020","North"
"113","Senegal",4,0,1,"03-12-2020","West"
"114","Burkina Faso",2,0,0,"03-12-2020","West"
"115","Cameroon",2,0,0,"03-12-2020","Central"
"116","Nigeria",2,0,0,"03-12-2020","West"
"117","Congo (Kinshasa)",1,0,0,"03-12-2020","Central"
"118","Cote d'Ivoire",1,0,0,"03-12-2020","West"
"119","Togo",1,0,0,"03-12-2020","West"
"120","Burkina Faso",2,0,0,"03-13-2020","West"
"121","Congo (Kinshasa)",2,0,0,"03-13-2020","Central"
"122","Algeria",26,2,8,"03-13-2020","North"
"123","Nigeria",2,0,0,"03-13-2020","West"
"124","Egypt",80,2,27,"03-13-2020","North"
"125","Senegal",10,0,1,"03-13-2020","West"
"126","Ethiopia",1,0,0,"03-13-2020","East"
"127","Sudan",1,1,0,"03-13-2020","East"
"128","Guinea",1,0,0,"03-13-2020","West"
"129","Morocco",7,1,1,"03-13-2020","North"
"130","Kenya",1,0,0,"03-13-2020","East"
"131","South Africa",24,0,0,"03-13-2020","South"
"132","Cote d'Ivoire",1,0,0,"03-13-2020","West"
"133","Cameroon",2,0,0,"03-13-2020","Central"
"134","Togo",1,0,0,"03-13-2020","West"
"135","Tunisia",16,0,0,"03-13-2020","North"
"136","Egypt",109,2,27,"03-14-2020","North"
"137","South Africa",38,0,0,"03-14-2020","South"
"138","Algeria",37,3,12,"03-14-2020","North"
"139","Tunisia",18,0,0,"03-14-2020","North"
"140","Morocco",17,1,1,"03-14-2020","North"
"141","Senegal",10,0,1,"03-14-2020","West"
"142","Ghana",3,0,0,"03-14-2020","West"
"143","Burkina Faso",2,0,0,"03-14-2020","West"
"144","Cameroon",2,0,0,"03-14-2020","Central"
"145","Congo (Kinshasa)",2,0,0,"03-14-2020","Central"
"146","Namibia",2,0,0,"03-14-2020","South"
"147","Nigeria",2,0,0,"03-14-2020","West"
"148","Seychelles",2,0,0,"03-14-2020","East"
