"","Country_Region","Confirmed","Deaths","Recovered","Date","Region"
"5397","Sao Tome and Principe",711,13,214,"06-25-2020","Central"
"5398","Senegal",6233,94,4162,"06-25-2020","West"
"5399","Seychelles",11,0,11,"06-25-2020","East"
"5400","Sierra Leone",1354,56,869,"06-25-2020","West"
"5401","Somalia",2878,90,868,"06-25-2020","East"
"5402","South Africa",118375,2292,59974,"06-25-2020","South"
"5403","South Sudan",1942,36,224,"06-25-2020","East"
"5404","Sudan",8984,556,3806,"06-25-2020","East"
"5405","Tanzania",509,21,183,"06-25-2020","East"
"5406","Togo",588,14,394,"06-25-2020","West"
"5407","Tunisia",1162,50,1023,"06-25-2020","North"
"5408","Uganda",821,0,731,"06-25-2020","East"
"5409","Zambia",1497,18,1223,"06-25-2020","South"
"5410","Zimbabwe",551,6,128,"06-25-2020","West"
"5411","Algeria",12685,885,9066,"06-26-2020","North"
"5412","Angola",212,10,81,"06-26-2020","South"
"5413","Benin",1053,14,292,"06-26-2020","West"
"5414","Botswana",92,1,25,"06-26-2020","South"
"5415","Burkina Faso",941,53,830,"06-26-2020","West"
"5416","Burundi",144,1,93,"06-26-2020","Central"
"5417","Cabo Verde",1027,10,568,"06-26-2020","West"
"5418","Cameroon",12592,313,10100,"06-26-2020","Central"
"5419","Central African Republic",3340,40,661,"06-26-2020","Central"
"5420","Chad",865,74,778,"06-26-2020","Central"
"5421","Comoros",272,7,161,"06-26-2020","East"
"5422","Congo (Brazzaville)",1087,37,456,"06-26-2020","Central"
"5423","Congo (Kinshasa)",6552,149,900,"06-26-2020","Central"
"5424","Cote d'Ivoire",8739,64,3587,"06-26-2020","West"
"5425","Djibouti",4643,52,4348,"06-26-2020","East"
"5426","Egypt",62755,2620,16737,"06-26-2020","North"
"5427","Equatorial Guinea",2001,32,515,"06-26-2020","Central"
"5428","Eritrea",167,0,53,"06-26-2020","East"
"5429","Eswatini",728,8,367,"06-26-2020","South"
"5430","Ethiopia",5425,89,1688,"06-26-2020","East"
"5431","Gabon",5209,40,2327,"06-26-2020","Central"
"5432","Gambia",43,2,26,"06-26-2020","West"
"5433","Ghana",15834,103,11755,"06-26-2020","West"
"5434","Guinea",5260,29,4155,"06-26-2020","West"
"5435","Guinea-Bissau",1614,22,191,"06-26-2020","West"
"5436","Kenya",5533,137,1905,"06-26-2020","East"
"5437","Lesotho",24,0,4,"06-26-2020","South"
"5438","Liberia",684,34,285,"06-26-2020","West"
"5439","Libya",713,18,142,"06-26-2020","North"
"5440","Madagascar",1922,16,862,"06-26-2020","East"
"5441","Malawi",1005,13,260,"06-26-2020","South"
"5442","Mali",2060,113,1387,"06-26-2020","West"
"5443","Mauritania",3907,120,1280,"06-26-2020","North"
"5444","Mauritius",341,10,326,"06-26-2020","East"
"5445","Morocco",11633,218,8656,"06-26-2020","North"
"5446","Mozambique",816,5,223,"06-26-2020","South"
"5447","Namibia",121,0,22,"06-26-2020","South"
"5448","Niger",1059,67,919,"06-26-2020","West"
"5449","Nigeria",23298,554,8253,"06-26-2020","West"
"5450","Rwanda",858,2,398,"06-26-2020","East"
"5451","Sao Tome and Principe",712,13,219,"06-26-2020","Central"
"5452","Senegal",6354,98,4193,"06-26-2020","West"
"5453","Seychelles",11,0,11,"06-26-2020","East"
"5454","Sierra Leone",1394,59,914,"06-26-2020","West"
"5455","Somalia",2878,90,868,"06-26-2020","East"
"5456","South Africa",124590,2340,64111,"06-26-2020","South"
"5457","South Sudan",1942,36,224,"06-26-2020","East"
"5458","Sudan",9257,572,4014,"06-26-2020","East"
"5459","Tanzania",509,21,183,"06-26-2020","East"
"5460","Togo",591,14,395,"06-26-2020","West"
"5461","Tunisia",1164,50,1023,"06-26-2020","North"
"5462","Uganda",833,0,761,"06-26-2020","East"
"5463","Zambia",1531,21,1233,"06-26-2020","South"
"5464","Zimbabwe",561,6,135,"06-26-2020","West"
"5465","Algeria",12968,892,9202,"06-27-2020","North"
"5466","Angola",259,10,81,"06-27-2020","South"
"5467","Benin",1124,14,295,"06-27-2020","West"
"5468","Botswana",92,1,25,"06-27-2020","South"
"5469","Burkina Faso",941,53,830,"06-27-2020","West"
"5470","Burundi",170,1,115,"06-27-2020","Central"
"5471","Cabo Verde",1091,12,568,"06-27-2020","West"
"5472","Cameroon",12592,313,10100,"06-27-2020","Central"
"5473","Central African Republic",3429,45,699,"06-27-2020","Central"
"5474","Chad",865,74,778,"06-27-2020","Central"
"5475","Comoros",272,7,161,"06-27-2020","East"
"5476","Congo (Brazzaville)",1087,37,456,"06-27-2020","Central"
"5477","Congo (Kinshasa)",6690,153,937,"06-27-2020","Central"
"5478","Cote d'Ivoire",8944,66,3722,"06-27-2020","West"
"5479","Djibouti",4643,52,4348,"06-27-2020","East"
"5480","Egypt",63923,2708,17140,"06-27-2020","North"
"5481","Equatorial Guinea",2001,32,515,"06-27-2020","Central"
"5482","Eritrea",191,0,53,"06-27-2020","East"
"5483","Eswatini",745,8,370,"06-27-2020","South"
"5484","Ethiopia",5570,94,2015,"06-27-2020","East"
"5485","Gabon",5209,40,2327,"06-27-2020","Central"
"5486","Gambia",44,2,26,"06-27-2020","West"
"5487","Ghana",16431,103,12257,"06-27-2020","West"
"5488","Guinea",5291,30,4215,"06-27-2020","West"
"5489","Guinea-Bissau",1614,22,317,"06-27-2020","West"
"5490","Kenya",5811,141,1936,"06-27-2020","East"
"5491","Lesotho",24,0,4,"06-27-2020","South"
"5492","Liberia",729,34,291,"06-27-2020","West"
"5493","Libya",727,18,171,"06-27-2020","North"
"5494","Madagascar",2005,16,907,"06-27-2020","East"
"5495","Malawi",1038,13,260,"06-27-2020","South"
"5496","Mali",2118,113,1398,"06-27-2020","West"
"5497","Mauritania",4025,121,1344,"06-27-2020","North"
"5498","Mauritius",341,10,326,"06-27-2020","East"
"5499","Morocco",11877,220,8723,"06-27-2020","North"
"5500","Mozambique",839,5,225,"06-27-2020","South"
"5501","Namibia",136,0,22,"06-27-2020","South"
"5502","Niger",1062,67,924,"06-27-2020","West"
"5503","Nigeria",24077,558,8625,"06-27-2020","West"
"5504","Rwanda",878,2,413,"06-27-2020","East"
"5505","Sao Tome and Principe",713,13,219,"06-27-2020","Central"
"5506","Senegal",6459,102,4255,"06-27-2020","West"
"5507","Seychelles",20,0,11,"06-27-2020","East"
"5508","Sierra Leone",1410,59,937,"06-27-2020","West"
"5509","Somalia",2878,90,868,"06-27-2020","East"
"5510","South Africa",131800,2413,67094,"06-27-2020","South"
"5511","South Sudan",1942,36,224,"06-27-2020","East"
"5512","Sudan",9257,572,4014,"06-27-2020","East"
"5513","Tanzania",509,21,183,"06-27-2020","East"
"5514","Togo",615,14,396,"06-27-2020","West"
"5515","Tunisia",1168,50,1025,"06-27-2020","North"
"5516","Uganda",848,0,761,"06-27-2020","East"
"5517","Zambia",1531,21,1233,"06-27-2020","South"
"5518","Zimbabwe",567,6,142,"06-27-2020","West"
"5519","Algeria",13273,897,9371,"06-28-2020","North"
"5520","Angola",267,11,81,"06-28-2020","South"
"5521","Benin",1149,16,306,"06-28-2020","West"
"5522","Botswana",92,1,25,"06-28-2020","South"
"5523","Burkina Faso",959,53,830,"06-28-2020","West"
"5524","Burundi",170,1,115,"06-28-2020","Central"
"5525","Cabo Verde",1155,12,570,"06-28-2020","West"
"5526","Cameroon",12592,313,10100,"06-28-2020","Central"
"5527","Central African Republic",3429,45,699,"06-28-2020","Central"
"5528","Chad",866,74,780,"06-28-2020","Central"
"5529","Comoros",272,7,161,"06-28-2020","East"
"5530","Congo (Brazzaville)",1087,37,456,"06-28-2020","Central"
"5531","Congo (Kinshasa)",6827,157,985,"06-28-2020","Central"
"5532","Cote d'Ivoire",9101,66,3808,"06-28-2020","West"
"5533","Djibouti",4643,52,4348,"06-28-2020","East"
"5534","Egypt",65188,2789,17539,"06-28-2020","North"
"5535","Equatorial Guinea",2001,32,515,"06-28-2020","Central"
"5536","Eritrea",191,0,53,"06-28-2020","East"
"5537","Eswatini",781,11,372,"06-28-2020","South"
"5538","Ethiopia",5689,98,2132,"06-28-2020","East"
"5539","Gabon",5209,40,2327,"06-28-2020","Central"
"5540","Gambia",45,2,26,"06-28-2020","West"
"5541","Ghana",16742,112,12720,"06-28-2020","West"
"5542","Guinea",5342,31,4282,"06-28-2020","West"
"5543","Guinea-Bissau",1614,22,317,"06-28-2020","West"
"5544","Kenya",6070,143,1971,"06-28-2020","East"
"5545","Lesotho",27,0,4,"06-28-2020","South"
"5546","Liberia",768,34,298,"06-28-2020","West"
"5547","Libya",762,21,196,"06-28-2020","North"
"5548","Madagascar",2078,18,944,"06-28-2020","East"
"5549","Malawi",1146,13,260,"06-28-2020","South"
"5550","Mali",2147,114,1432,"06-28-2020","West"
"5551","Mauritania",4149,126,1419,"06-28-2020","North"
"5552","Mauritius",341,10,326,"06-28-2020","East"
"5553","Morocco",12052,221,8740,"06-28-2020","North"
"5554","Mozambique",859,5,228,"06-28-2020","South"
"5555","Namibia",183,0,24,"06-28-2020","South"
"5556","Niger",1074,67,939,"06-28-2020","West"
"5557","Nigeria",24567,565,9007,"06-28-2020","West"
"5558","Rwanda",900,2,443,"06-28-2020","East"
"5559","Sao Tome and Principe",713,13,219,"06-28-2020","Central"
"5560","Senegal",6586,105,4291,"06-28-2020","West"
"5561","Seychelles",70,0,11,"06-28-2020","East"
"5562","Sierra Leone",1427,60,943,"06-28-2020","West"
"5563","Somalia",2894,90,887,"06-28-2020","East"
"5564","South Africa",138134,2456,68925,"06-28-2020","South"
"5565","South Sudan",1989,36,246,"06-28-2020","East"
"5566","Sudan",9257,572,4014,"06-28-2020","East"
"5567","Tanzania",509,21,183,"06-28-2020","East"
"5568","Togo",642,14,401,"06-28-2020","West"
"5569","Tunisia",1169,50,1029,"06-28-2020","North"
"5570","Uganda",859,0,794,"06-28-2020","East"
"5571","Zambia",1557,22,1311,"06-28-2020","South"
"5572","Zimbabwe",567,6,142,"06-28-2020","West"
"5573","Algeria",13571,905,9674,"06-29-2020","North"
"5574","Angola",276,11,93,"06-29-2020","South"
"5575","Benin",1187,19,323,"06-29-2020","West"
"5576","Botswana",175,1,25,"06-29-2020","South"
"5577","Burkina Faso",959,53,830,"06-29-2020","West"
"5578","Burundi",170,1,115,"06-29-2020","Central"
"5579","Cabo Verde",1165,12,608,"06-29-2020","West"
"5580","Cameroon",12592,313,10100,"06-29-2020","Central"
"5581","Central African Republic",3613,47,773,"06-29-2020","Central"
"5582","Chad",866,74,781,"06-29-2020","Central"
"5583","Comoros",272,7,161,"06-29-2020","East"
"5584","Congo (Brazzaville)",1087,37,456,"06-29-2020","Central"
"5585","Congo (Kinshasa)",6939,167,1050,"06-29-2020","Central"
"5586","Cote d'Ivoire",9214,66,3996,"06-29-2020","West"
"5587","Djibouti",4656,53,4433,"06-29-2020","East"
"5588","Egypt",66754,2872,17951,"06-29-2020","North"
"5589","Equatorial Guinea",2001,32,515,"06-29-2020","Central"
"5590","Eritrea",191,0,53,"06-29-2020","East"
"5591","Eswatini",795,11,380,"06-29-2020","South"
"5592","Ethiopia",5846,103,2430,"06-29-2020","East"
"5593","Gabon",5394,42,2420,"06-29-2020","Central"
"5594","Gambia",47,2,26,"06-29-2020","West"
"5595","Ghana",17351,112,12994,"06-29-2020","West"
"5596","Guinea",5351,31,4296,"06-29-2020","West"
"5597","Guinea-Bissau",1654,24,317,"06-29-2020","West"
"5598","Kenya",6190,144,2013,"06-29-2020","East"
"5599","Lesotho",27,0,4,"06-29-2020","South"
"5600","Liberia",770,36,312,"06-29-2020","West"
"5601","Libya",802,23,206,"06-29-2020","North"
"5602","Madagascar",2138,20,966,"06-29-2020","East"
"5603","Malawi",1152,13,260,"06-29-2020","South"
"5604","Mali",2173,115,1447,"06-29-2020","West"
"5605","Mauritania",4237,128,1497,"06-29-2020","North"
"5606","Mauritius",341,10,326,"06-29-2020","East"
"5607","Morocco",12290,225,8833,"06-29-2020","North"
"5608","Mozambique",883,6,229,"06-29-2020","South"
"5609","Namibia",196,0,24,"06-29-2020","South"
"5610","Niger",1075,67,939,"06-29-2020","West"
"5611","Nigeria",25133,573,9402,"06-29-2020","West"
"5612","Rwanda",1001,2,443,"06-29-2020","East"
"5613","Sao Tome and Principe",713,13,235,"06-29-2020","Central"
"5614","Senegal",6698,108,4341,"06-29-2020","West"
"5615","Seychelles",77,0,11,"06-29-2020","East"
"5616","Sierra Leone",1450,60,961,"06-29-2020","West"
"5617","Somalia",2904,90,910,"06-29-2020","East"
"5618","South Africa",144264,2529,70614,"06-29-2020","South"
"5619","South Sudan",1989,36,246,"06-29-2020","East"
"5620","Sudan",9257,572,4014,"06-29-2020","East"
"5621","Tanzania",509,21,183,"06-29-2020","East"
"5622","Togo",643,14,401,"06-29-2020","West"
"5623","Tunisia",1172,50,1029,"06-29-2020","North"
"5624","Uganda",870,0,808,"06-29-2020","East"
"5625","Zambia",1568,22,1311,"06-29-2020","South"
"5626","Zimbabwe",574,7,152,"06-29-2020","West"
"5627","Algeria",13907,912,9897,"06-30-2020","North"
"5628","Angola",284,13,93,"06-30-2020","South"
"5629","Benin",1199,21,333,"06-30-2020","West"
"5630","Botswana",227,1,28,"06-30-2020","South"
"5631","Burkina Faso",962,53,838,"06-30-2020","West"
"5632","Burundi",170,1,115,"06-30-2020","Central"
"5633","Cabo Verde",1227,15,629,"06-30-2020","West"
"5634","Cameroon",12592,313,10100,"06-30-2020","Central"
"5635","Central African Republic",3745,47,787,"06-30-2020","Central"
"5636","Chad",866,74,781,"06-30-2020","Central"
"5637","Comoros",303,7,200,"06-30-2020","East"
"5638","Congo (Brazzaville)",1087,37,456,"06-30-2020","Central"
"5639","Congo (Kinshasa)",7039,170,1426,"06-30-2020","Central"
"5640","Cote d'Ivoire",9499,68,4273,"06-30-2020","West"
"5641","Djibouti",4682,54,4524,"06-30-2020","East"
"5642","Egypt",68311,2953,18460,"06-30-2020","North"
"5643","Equatorial Guinea",2001,32,515,"06-30-2020","Central"
"5644","Eritrea",203,0,53,"06-30-2020","East"
"5645","Eswatini",812,11,408,"06-30-2020","South"
"5646","Ethiopia",5846,103,2430,"06-30-2020","East"
"5647","Gabon",5394,42,2420,"06-30-2020","Central"
"5648","Gambia",49,2,27,"06-30-2020","West"
"5649","Ghana",17741,112,13268,"06-30-2020","West"
"5650","Guinea",5391,33,4326,"06-30-2020","West"
"5651","Guinea-Bissau",1654,24,317,"06-30-2020","West"
"5652","Kenya",6366,148,2039,"06-30-2020","East"
"5653","Lesotho",27,0,4,"06-30-2020","South"
"5654","Liberia",780,36,324,"06-30-2020","West"
"5655","Libya",824,24,209,"06-30-2020","North"
"5656","Madagascar",2214,20,994,"06-30-2020","East"
"5657","Malawi",1224,14,260,"06-30-2020","South"
"5658","Mali",2181,116,1474,"06-30-2020","West"
"5659","Mauritania",4363,129,1622,"06-30-2020","North"
"5660","Mauritius",341,10,326,"06-30-2020","East"
"5661","Morocco",12533,228,8920,"06-30-2020","North"
"5662","Mozambique",889,6,232,"06-30-2020","South"
"5663","Namibia",205,0,24,"06-30-2020","South"
"5664","Niger",1075,67,943,"06-30-2020","West"
"5665","Nigeria",25694,590,9746,"06-30-2020","West"
"5666","Rwanda",1025,2,447,"06-30-2020","East"
"5667","Sao Tome and Principe",714,13,236,"06-30-2020","Central"
"5668","Senegal",6793,112,4431,"06-30-2020","West"
"5669","Seychelles",81,0,11,"06-30-2020","East"
"5670","Sierra Leone",1462,60,974,"06-30-2020","West"
"5671","Somalia",2924,90,910,"06-30-2020","East"
"5672","South Africa",151209,2657,73543,"06-30-2020","South"
"5673","South Sudan",2007,38,279,"06-30-2020","East"
"5674","Sudan",9257,572,4014,"06-30-2020","East"
"5675","Tanzania",509,21,183,"06-30-2020","East"
"5676","Togo",650,14,402,"06-30-2020","West"
"5677","Tunisia",1174,50,1031,"06-30-2020","North"
"5678","Uganda",889,0,819,"06-30-2020","East"
"5679","Zambia",1594,24,1329,"06-30-2020","South"
"5680","Zimbabwe",591,7,162,"06-30-2020","West"
"5681","Algeria",14272,920,10040,"07-01-2020","North"
"5682","Angola",291,15,97,"07-01-2020","South"
"5683","Benin",1199,21,333,"07-01-2020","West"
"5684","Botswana",227,1,28,"07-01-2020","South"
"5685","Burkina Faso",962,53,838,"07-01-2020","West"
"5686","Burundi",170,1,115,"07-01-2020","Central"
"5687","Cabo Verde",1267,15,629,"07-01-2020","West"
"5688","Cameroon",12592,313,10100,"07-01-2020","Central"
"5689","Central African Republic",3745,47,787,"07-01-2020","Central"
"5690","Chad",866,74,785,"07-01-2020","Central"
"5691","Comoros",303,7,200,"07-01-2020","East"
"5692","Congo (Brazzaville)",1382,41,486,"07-01-2020","Central"
"5693","Congo (Kinshasa)",7122,175,1785,"07-01-2020","Central"
"5694","Cote d'Ivoire",9702,68,4381,"07-01-2020","West"
"5695","Djibouti",4704,55,4550,"07-01-2020","East"
"5696","Egypt",69814,3034,18881,"07-01-2020","North"
"5697","Equatorial Guinea",2001,32,515,"07-01-2020","Central"
"5698","Eritrea",203,0,56,"07-01-2020","East"
"5699","Eswatini",840,11,418,"07-01-2020","South"
"5700","Ethiopia",5846,103,2430,"07-01-2020","East"
"5701","Gabon",5513,42,2508,"07-01-2020","Central"
"5702","Gambia",49,2,27,"07-01-2020","West"
"5703","Ghana",18134,117,13550,"07-01-2020","West"
"5704","Guinea",5404,33,4346,"07-01-2020","West"
"5705","Guinea-Bissau",1654,24,317,"07-01-2020","West"
"5706","Kenya",6673,149,2089,"07-01-2020","East"
"5707","Lesotho",35,0,11,"07-01-2020","South"
"5708","Liberia",804,37,335,"07-01-2020","West"
"5709","Libya",874,25,223,"07-01-2020","North"
"5710","Madagascar",2303,22,1006,"07-01-2020","East"
"5711","Malawi",1265,16,260,"07-01-2020","South"
"5712","Mali",2202,116,1483,"07-01-2020","West"
"5713","Mauritania",4472,129,1677,"07-01-2020","North"
"5714","Mauritius",341,10,326,"07-01-2020","East"
"5715","Morocco",12636,228,9026,"07-01-2020","North"
"5716","Mozambique",903,6,248,"07-01-2020","South"
"5717","Namibia",285,0,24,"07-01-2020","South"
"5718","Niger",1075,67,943,"07-01-2020","West"
"5719","Nigeria",26484,603,10152,"07-01-2020","West"
"5720","Rwanda",1042,3,480,"07-01-2020","East"
"5721","Sao Tome and Principe",715,13,252,"07-01-2020","Central"
"5722","Senegal",6925,116,4545,"07-01-2020","West"
"5723","Seychelles",81,0,11,"07-01-2020","East"
"5724","Sierra Leone",1498,60,999,"07-01-2020","West"
"5725","Somalia",2924,90,932,"07-01-2020","East"
"5726","South Africa",159333,2749,76025,"07-01-2020","South"
"5727","South Sudan",2021,38,333,"07-01-2020","East"
"5728","Sudan",9573,602,4606,"07-01-2020","East"
"5729","Tanzania",509,21,183,"07-01-2020","East"
"5730","Togo",661,14,414,"07-01-2020","West"
"5731","Tunisia",1175,50,1038,"07-01-2020","North"
"5732","Uganda",893,0,837,"07-01-2020","East"
"5733","Zambia",1632,30,1348,"07-01-2020","South"
"5734","Zimbabwe",605,7,166,"07-01-2020","West"
"5735","Algeria",14657,928,10342,"07-02-2020","North"
"5736","Angola",315,17,97,"07-02-2020","South"
"5737","Benin",1199,21,333,"07-02-2020","West"
"5738","Botswana",227,1,28,"07-02-2020","South"
"5739","Burkina Faso",967,53,846,"07-02-2020","West"
"5740","Burundi",170,1,115,"07-02-2020","Central"
"5741","Cabo Verde",1301,15,629,"07-02-2020","West"
"5742","Cameroon",12592,313,10100,"07-02-2020","Central"
"5743","Central African Republic",3788,47,810,"07-02-2020","Central"
"5744","Chad",868,74,785,"07-02-2020","Central"
"5745","Comoros",303,7,200,"07-02-2020","East"
"5746","Congo (Brazzaville)",1382,41,486,"07-02-2020","Central"
"5747","Congo (Kinshasa)",7189,176,2317,"07-02-2020","Central"
"5748","Cote d'Ivoire",9992,68,4660,"07-02-2020","West"
"5749","Djibouti",4715,55,4564,"07-02-2020","East"
"5750","Egypt",71299,3120,19288,"07-02-2020","North"
"5751","Equatorial Guinea",3071,51,842,"07-02-2020","Central"
"5752","Eritrea",215,0,56,"07-02-2020","East"
"5753","Eswatini",873,11,452,"07-02-2020","South"
"5754","Ethiopia",5846,103,2430,"07-02-2020","East"
"5755","Gabon",5513,42,2508,"07-02-2020","Central"
"5756","Gambia",55,2,27,"07-02-2020","West"
"5757","Ghana",18134,117,13550,"07-02-2020","West"
"5758","Guinea",5450,33,4392,"07-02-2020","West"
"5759","Guinea-Bissau",1654,24,317,"07-02-2020","West"
"5760","Kenya",6941,152,2109,"07-02-2020","East"
"5761","Lesotho",35,0,11,"07-02-2020","South"
"5762","Liberia",819,37,338,"07-02-2020","West"
"5763","Libya",891,26,224,"07-02-2020","North"
"5764","Madagascar",2403,24,1040,"07-02-2020","East"
"5765","Malawi",1342,16,271,"07-02-2020","South"
"5766","Mali",2260,117,1502,"07-02-2020","West"
"5767","Mauritania",4606,129,1727,"07-02-2020","North"
"5768","Mauritius",341,10,330,"07-02-2020","East"
"5769","Morocco",12969,229,9090,"07-02-2020","North"
"5770","Mozambique",918,6,249,"07-02-2020","South"
"5771","Namibia",293,0,24,"07-02-2020","South"
"5772","Niger",1081,68,959,"07-02-2020","West"
"5773","Nigeria",27110,616,10801,"07-02-2020","West"
"5774","Rwanda",1063,3,493,"07-02-2020","East"
"5775","Sao Tome and Principe",717,13,260,"07-02-2020","Central"
"5776","Senegal",7054,121,4599,"07-02-2020","West"
"5777","Seychelles",81,0,11,"07-02-2020","East"
"5778","Sierra Leone",1518,60,1007,"07-02-2020","West"
"5779","Somalia",2944,90,951,"07-02-2020","East"
"5780","South Africa",168061,2844,81999,"07-02-2020","South"
"5781","South Sudan",2021,38,333,"07-02-2020","East"
"5782","Sudan",9573,602,4606,"07-02-2020","East"
"5783","Tanzania",509,21,183,"07-02-2020","East"
"5784","Togo",667,14,424,"07-02-2020","West"
"5785","Tunisia",1178,50,1039,"07-02-2020","North"
"5786","Uganda",902,0,847,"07-02-2020","East"
"5787","Zambia",1632,30,1348,"07-02-2020","South"
"5788","Zimbabwe",617,7,173,"07-02-2020","West"
"5789","Algeria",15070,937,10832,"07-03-2020","North"
"5790","Angola",328,18,107,"07-03-2020","South"
"5791","Benin",1199,21,333,"07-03-2020","West"
"5792","Botswana",277,1,29,"07-03-2020","South"
"5793","Burkina Faso",980,53,852,"07-03-2020","West"
"5794","Burundi",191,1,118,"07-03-2020","Central"
"5795","Cabo Verde",1382,15,629,"07-03-2020","West"
"5796","Cameroon",12592,313,10100,"07-03-2020","Central"
"5797","Central African Republic",3918,48,859,"07-03-2020","Central"
"5798","Chad",871,74,786,"07-03-2020","Central"
"5799","Comoros",309,7,241,"07-03-2020","East"
"5800","Congo (Brazzaville)",1557,44,501,"07-03-2020","Central"
"5801","Congo (Kinshasa)",7311,179,2684,"07-03-2020","Central"
"5802","Cote d'Ivoire",10244,70,4726,"07-03-2020","West"
"5803","Djibouti",4736,55,4580,"07-03-2020","East"
"5804","Egypt",72711,3201,19690,"07-03-2020","North"
"5805","Equatorial Guinea",3071,51,842,"07-03-2020","Central"
"5806","Eritrea",215,0,56,"07-03-2020","East"
"5807","Eswatini",909,13,515,"07-03-2020","South"
"5808","Ethiopia",5846,103,2430,"07-03-2020","East"
"5809","Gabon",5620,44,2555,"07-03-2020","Central"
"5810","Gambia",55,2,27,"07-03-2020","West"
"5811","Ghana",19388,117,14330,"07-03-2020","West"
"5812","Guinea",5521,33,4446,"07-03-2020","West"
"5813","Guinea-Bissau",1765,25,676,"07-03-2020","West"
"5814","Kenya",7188,154,2148,"07-03-2020","East"
"5815","Lesotho",35,0,11,"07-03-2020","South"
"5816","Liberia",833,37,346,"07-03-2020","West"
"5817","Libya",918,27,230,"07-03-2020","North"
"5818","Madagascar",2512,26,1057,"07-03-2020","East"
"5819","Malawi",1498,16,317,"07-03-2020","South"
"5820","Mali",2285,117,1507,"07-03-2020","West"
"5821","Mauritania",4705,129,1765,"07-03-2020","North"
"5822","Mauritius",341,10,330,"07-03-2020","East"
"5823","Morocco",13288,230,9160,"07-03-2020","North"
"5824","Mozambique",939,6,249,"07-03-2020","South"
"5825","Namibia",350,0,25,"07-03-2020","South"
"5826","Niger",1082,68,963,"07-03-2020","West"
"5827","Nigeria",27564,628,11069,"07-03-2020","West"
"5828","Rwanda",1081,3,512,"07-03-2020","East"
"5829","Sao Tome and Principe",719,13,267,"07-03-2020","Central"
"5830","Senegal",7164,125,4666,"07-03-2020","West"
"5831","Seychelles",81,0,11,"07-03-2020","East"
"5832","Sierra Leone",1524,62,1042,"07-03-2020","West"
"5833","Somalia",2944,90,951,"07-03-2020","East"
"5834","South Africa",177124,2952,86298,"07-03-2020","South"
"5835","South Sudan",2021,38,333,"07-03-2020","East"
"5836","Sudan",9663,604,4624,"07-03-2020","East"
"5837","Tanzania",509,21,183,"07-03-2020","East"
"5838","Togo",671,14,424,"07-03-2020","West"
"5839","Tunisia",1181,50,1045,"07-03-2020","North"
"5840","Uganda",911,0,849,"07-03-2020","East"
"5841","Zambia",1632,30,1348,"07-03-2020","South"
"5842","Zimbabwe",625,7,176,"07-03-2020","West"
"5843","Algeria",15500,946,11181,"07-04-2020","North"
"5844","Angola",346,19,108,"07-04-2020","South"
"5845","Benin",1199,21,333,"07-04-2020","West"
"5846","Botswana",277,1,29,"07-04-2020","South"
"5847","Burkina Faso",987,53,854,"07-04-2020","West"
"5848","Burundi",191,1,118,"07-04-2020","Central"
"5849","Cabo Verde",1421,16,654,"07-04-2020","West"
"5850","Cameroon",12592,313,10100,"07-04-2020","Central"
"5851","Central African Republic",3969,48,914,"07-04-2020","Central"
"5852","Chad",871,74,787,"07-04-2020","Central"
"5853","Comoros",309,7,241,"07-04-2020","East"
"5854","Congo (Brazzaville)",1557,44,501,"07-04-2020","Central"
"5855","Congo (Kinshasa)",7379,182,2961,"07-04-2020","Central"
"5856","Cote d'Ivoire",10462,72,4807,"07-04-2020","West"
"5857","Djibouti",4736,55,4580,"07-04-2020","East"
"5858","Egypt",74035,3280,20103,"07-04-2020","North"
"5859","Equatorial Guinea",3071,51,842,"07-04-2020","Central"
"5860","Eritrea",215,0,56,"07-04-2020","East"
"5861","Eswatini",954,13,535,"07-04-2020","South"
"5862","Ethiopia",5846,103,2430,"07-04-2020","East"
"5863","Gabon",5620,44,2555,"07-04-2020","Central"
"5864","Gambia",57,2,27,"07-04-2020","West"
"5865","Ghana",19388,117,14330,"07-04-2020","West"
"5866","Guinea",5570,34,4496,"07-04-2020","West"
"5867","Guinea-Bissau",1765,25,676,"07-04-2020","West"
"5868","Kenya",7577,159,2236,"07-04-2020","East"
"5869","Lesotho",35,0,11,"07-04-2020","South"
"5870","Liberia",869,37,369,"07-04-2020","West"
"5871","Libya",989,27,258,"07-04-2020","North"
"5872","Madagascar",2728,29,1078,"07-04-2020","East"
"5873","Malawi",1613,17,317,"07-04-2020","South"
"5874","Mali",2303,118,1516,"07-04-2020","West"
"5875","Mauritania",4827,129,1805,"07-04-2020","North"
"5876","Mauritius",341,10,330,"07-04-2020","East"
"5877","Morocco",13822,232,9329,"07-04-2020","North"
"5878","Mozambique",969,7,256,"07-04-2020","South"
"5879","Namibia",375,0,25,"07-04-2020","South"
"5880","Niger",1082,68,963,"07-04-2020","West"
"5881","Nigeria",28167,634,11462,"07-04-2020","West"
"5882","Rwanda",1092,3,523,"07-04-2020","East"
"5883","Sao Tome and Principe",719,13,267,"07-04-2020","Central"
"5884","Senegal",7272,129,4713,"07-04-2020","West"
"5885","Seychelles",81,0,11,"07-04-2020","East"
"5886","Sierra Leone",1533,62,1051,"07-04-2020","West"
"5887","Somalia",2961,92,973,"07-04-2020","East"
"5888","South Africa",187977,3026,91227,"07-04-2020","South"
"5889","South Sudan",2021,38,333,"07-04-2020","East"
