"","Country_Region","Confirmed","Deaths","Recovered","Date","Region","New Cases","New Deaths","New Recoveries","DaysSince","Exposure","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty","lnhiv","lnasthma","lntraffic","nrows","PopTotal","ConfirmedScaled"
"46","Central African Republic",7141,98,6859,2021-06-28,"Central",2,0,0,454,471,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.47854015227245
"47","Benin",8199,104,8000,2021-06-29,"West",29,0,0,455,471,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.676306697292249
"48","Cameroon",80858,1324,35261,2021-06-29,"Central",371,4,0,455,481,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.04597356484611
"49","Congo (Brazzaville)",12596,165,11211,2021-06-29,"Central",111,0,0,455,472,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"50","Congo (Brazzaville)",12695,166,11211,2021-07-01,"Central",99,1,0,457,474,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"51","Congo (Brazzaville)",12790,167,11759,2021-07-05,"Central",95,1,548,461,478,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"52","Benin",8227,105,8000,2021-07-07,"West",28,1,0,463,479,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.678616318895394
"53","Central African Republic",7142,98,6859,2021-07-08,"Central",1,0,0,464,481,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.47874720172663
"54","Lesotho",11903,335,6593,2021-07-10,"South",257,0,1,466,424,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,5.55630243314045
"55","Liberia",5102,144,2588,2021-07-11,"West",108,9,0,467,483,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.00876350941351
"56","Liberia",5156,144,2606,2021-07-12,"West",54,0,18,468,484,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.01944034781185
"57","Lesotho",11907,335,6593,2021-07-13,"South",4,0,0,469,427,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,5.55816962710269
"58","Liberia",5215,144,2606,2021-07-13,"West",59,0,0,469,485,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.03110578235819
"59","Benin",8244,107,8081,2021-07-14,"West",17,2,81,470,486,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.680018589154446
"60","Lesotho",12153,338,6601,2021-07-14,"South",246,3,8,470,428,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,5.67300205578055
"61","Congo (Brazzaville)",12933,172,11759,2021-07-15,"Central",143,5,0,471,488,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"62","Liberia",5276,144,2652,2021-07-15,"West",61,0,30,471,487,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.04316665536372
"63","Cameroon",81467,1330,35261,2021-07-16,"Central",609,6,0,472,498,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.06891499180437
"64","Lesotho",12398,339,6601,2021-07-16,"South",245,1,0,472,430,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,5.78736768596785
"65","Liberia",5306,148,2652,2021-07-16,"West",30,4,0,472,488,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.04909823225168
"66","Liberia",5315,148,2715,2021-07-18,"West",9,0,10,474,490,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.05087770531807
"67","Botswana",91902,1328,75782,2021-07-19,"South",5769,54,2402,475,477,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105,9.68916130065918,11.2416400909424,12.4427919387817,1,2351.625,39.0802104927444
"68","Congo (Brazzaville)",12998,174,11759,2021-07-19,"Central",65,2,0,475,492,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"69","Liberia",5396,148,2715,2021-07-19,"West",81,0,0,475,491,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.06689296291558
"70","Central African Republic",7147,98,6859,2021-07-20,"Central",5,0,0,476,493,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.47978244899751
"71","Congo (Brazzaville)",13050,176,11759,2021-07-20,"Central",52,2,0,476,493,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"72","Lesotho",12630,349,6616,2021-07-21,"South",232,10,15,477,435,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,5.89566493577786
"73","Benin",8324,107,8125,2021-07-22,"West",80,0,44,478,494,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.686617508020573
"74","Botswana",97657,1375,84189,2021-07-22,"South",5755,47,8407,478,480,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105,9.68916130065918,11.2416400909424,12.4427919387817,1,2351.625,41.5274544198161
"75","Cameroon",81871,1332,35261,2021-07-22,"Central",404,2,0,478,504,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.08413393513958
"76","Lesotho",12679,357,6621,2021-07-22,"South",49,8,5,478,436,-0.597836971282959,-1.27296566963196,1.0986123085022,1.48387467861176,3.49650764465332,3.49650764465332,9.78564643859863,10.9264640808105,NA,1001,2142.252,5.91853806181532
"77","Liberia",5404,148,2715,2021-07-22,"West",8,0,0,478,494,-1.23787438869476,-0.673344552516937,0.6931471824646,1.59938752651215,3.82864141464233,3.49650764465332,6.74134302139282,11.9294691085815,NA,812,5057.677,1.06847471675237
"78","Cameroon",82003,1334,35261,2021-07-23,"Central",132,2,0,479,505,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.08910646117979
"79","Congo (Brazzaville)",13117,176,11759,2021-07-23,"Central",67,0,0,479,496,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
"80","Equatorial Guinea",8863,123,8637,2021-07-23,"Central",15,0,46,479,496,-0.415515393018723,-0.342490345239639,0,1.67249576854706,3.09104251861572,3.95124363899231,8.29574871063232,11.1625061035156,13.0528736114502,1001,1402.985,6.31724501687474
