"","Est","Var","Country","Date","Upper","Lower"
"33",10.9533756970796,0.169987341998967,"Angola","2021-10-09",11.2933503810776,10.6134010130817
"34",10.9548413094063,0.174659963627492,"Angola","2021-10-10",11.3041612366613,10.6055213821513
"35",10.9607061958028,0.177736825364553,"Angola","2021-10-11",11.3161798465319,10.6052325450737
"36",10.961343702846,0.177946474784828,"Angola","2021-10-12",11.3172366524157,10.6054507532764
"37",10.971795592544,0.182775704927404,"Angola","2021-10-13",11.3373470023989,10.6062441826892
"38",10.9748517457302,0.177735984551876,"Angola","2021-10-14",11.3303237148339,10.6193797766264
"39",10.978122595925,0.179062863764801,"Angola","2021-10-15",11.3362483234546,10.6199968683954
"40",10.9844076477511,0.183907308660907,"Angola","2021-10-16",11.3522222650729,10.6165930304292
"41",10.9935920000681,0.181252189171,"Angola","2021-10-17",11.3560963784101,10.6310876217261
"42",10.9898805182721,0.186775484162365,"Angola","2021-10-18",11.3634314865969,10.6163295499474
"43",9.82773892786568,0.173953028994046,"Benin","2021-09-28",10.1756449858538,9.47983286987758
"44",9.83898705666803,0.171272786094228,"Benin","2021-09-29",10.1815326288565,9.49644148447958
"45",9.84540416173722,0.174884339321404,"Benin","2021-09-30",10.19517284038,9.49563548309441
"46",9.85666362800634,0.174405851498472,"Benin","2021-10-01",10.2054753310033,9.5078519250094
"47",9.86535732284121,0.175101430603919,"Benin","2021-10-02",10.215560184049,9.51515446163337
"48",9.87315554797506,0.173540801895818,"Benin","2021-10-03",10.2202371517667,9.52607394418343
"49",9.88551814160361,0.176342537937137,"Benin","2021-10-04",10.2382032174779,9.53283306572933
"50",9.89042075373092,0.173534267842482,"Benin","2021-10-05",10.2374892894159,9.54335221804596
"51",9.90460988032629,0.174694609601304,"Benin","2021-10-06",10.2539990995289,9.55522066112368
"52",9.91152895804428,0.17847796631801,"Benin","2021-10-07",10.2684848906803,9.55457302540826
"53",9.91774230706048,0.176965009701312,"Benin","2021-10-08",10.2716723264631,9.56381228765785
"54",9.92643930983705,0.177183694857397,"Benin","2021-10-09",10.2808066995518,9.57207192012226
"55",9.93734435816127,0.176542006404477,"Benin","2021-10-10",10.2904283709702,9.58426034535232
"56",9.94409011947847,0.172387195034921,"Benin","2021-10-11",10.2888645095483,9.59931572940863
"57",9.95272694128477,0.179183617711965,"Benin","2021-10-12",10.3110941767087,9.59435970586084
"58",9.96176427667975,0.181492478253365,"Benin","2021-10-13",10.3247492331865,9.59877932017302
"59",9.97300038378859,0.178450152251684,"Benin","2021-10-14",10.329900688292,9.61610007928522
"60",9.98195881447418,0.180691150119809,"Benin","2021-10-15",10.3433411147138,9.62057651423456
"61",9.9892481254563,0.182257081546667,"Benin","2021-10-16",10.3537622885496,9.62473396236296
"62",9.99806747119375,0.178892159777982,"Benin","2021-10-17",10.3558517907497,9.64028315163779
"63",10.0070403890266,0.179780365843648,"Benin","2021-10-18",10.3666011207139,9.64747965733934
"64",12.1323934634851,0.172996528488178,"Botswana","2021-09-28",12.4783865204615,11.7864004065088
"65",12.1416491647438,0.174339543083692,"Botswana","2021-09-29",12.4903282509112,11.7929700785764
"66",12.1482233099783,0.173628755604817,"Botswana","2021-09-30",12.4954808211879,11.8009657987686
"67",12.1554683205899,0.175269450957449,"Botswana","2021-10-01",12.5060072225048,11.804929418675
"68",12.1657816205909,0.177387727126761,"Botswana","2021-10-02",12.5205570748445,11.8110061663374
"69",12.1706494417858,0.173929593139159,"Botswana","2021-10-03",12.5185086280641,11.8227902555075
"70",12.1764422690073,0.17292206507281,"Botswana","2021-10-04",12.5222863991529,11.8305981388617
"71",12.1910087478109,0.178470752983106,"Botswana","2021-10-05",12.5479502537771,11.8340672418447
"72",12.1956316213858,0.178040808844325,"Botswana","2021-10-06",12.5517132390745,11.8395500036972
"73",12.2049401476964,0.178270827786941,"Botswana","2021-10-07",12.5614818032703,11.8483984921225
"74",12.2130805817012,0.179521070608074,"Botswana","2021-10-08",12.5721227229174,11.8540384404851
"75",12.2137441464706,0.181366027592981,"Botswana","2021-10-09",12.5764762016566,11.8510120912847
"76",12.2283817794361,0.178480306688113,"Botswana","2021-10-10",12.5853423928123,11.8714211660599
"77",12.2308863520992,0.177109864891954,"Botswana","2021-10-11",12.5851060818831,11.8766666223153
"78",12.2410156912877,0.18183721629208,"Botswana","2021-10-12",12.6046901238718,11.8773412587035
"79",12.2507888650392,0.180713045457637,"Botswana","2021-10-13",12.6122149559545,11.8893627741239
"80",12.2571542578895,0.184784027271707,"Botswana","2021-10-14",12.6267223124329,11.8875862033461
"81",12.2654462557623,0.18085928711088,"Botswana","2021-10-15",12.6271648299841,11.9037276815405
"82",12.2740163295697,0.185373091983884,"Botswana","2021-10-16",12.6447625135375,11.903270145602
"83",12.2801229453733,0.181963744192418,"Botswana","2021-10-17",12.6440504337582,11.9161954569885
"84",12.2948829611485,0.185383689234137,"Botswana","2021-10-18",12.6656503396168,11.9241155826803
"85",9.58623207335019,0.170496732987583,"Burkina Faso","2021-09-28",9.92722553932536,9.24523860737503
